[TAILING] Tailing last 200 lines for [sofia-bruscoli] process (change the value with --lines option)
/root/secretaria/logs/sofia-bruscoli/out.log last 200 lines:
1|sofia-br | 2026-09-19 18:37:35: [TG] poll error x1241 en 312min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 18:47:38: [TG] poll error x1281 en 322min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 18:57:40: [TG] poll error x1321 en 332min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 19:07:43: [TG] poll error x1361 en 342min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 19:17:47: [TG] poll error x1401 en 352min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 19:27:50: [TG] poll error x1441 en 362min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 19:37:54: [TG] poll error x1481 en 372min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 19:47:58: [TG] poll error x1521 en 382min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 19:58:01: [TG] poll error x1561 en 392min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 20:08:04: [TG] poll error x1601 en 402min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 20:18:07: [TG] poll error x1641 en 412min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 20:28:10: [TG] poll error x1681 en 422min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 20:38:13: [TG] poll error x1721 en 432min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 20:48:16: [TG] poll error x1761 en 442min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 20:58:19: [TG] poll error x1801 en 452min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 21:08:22: [TG] poll error x1841 en 462min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 21:18:25: [TG] poll error x1881 en 472min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 21:28:29: [TG] poll error x1921 en 482min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 21:38:32: [TG] poll error x1961 en 493min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 21:48:35: [TG] poll error x2001 en 503min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 21:58:38: [TG] poll error x2041 en 513min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 22:08:40: [TG] poll error x2081 en 523min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 22:18:43: [TG] poll error x2121 en 533min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 22:28:46: [TG] poll error x2161 en 543min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 22:38:50: [TG] poll error x2201 en 553min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 22:48:53: [TG] poll error x2241 en 563min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 22:58:55: [TG] poll error x2281 en 573min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 23:08:58: [TG] poll error x2321 en 583min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)

