id    timestamp            canal     direccion  COALESCE(de,"")     cuerpo                                                                                                                                                                                      
----  -------------------  --------  ---------  ------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2214  2026-05-07 10:35:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2213  2026-05-07 10:34:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2212  2026-05-07 10:34:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2211  2026-05-07 10:33:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2210  2026-05-07 10:33:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2209  2026-05-07 10:32:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2208  2026-05-07 10:32:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2207  2026-05-07 10:31:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2206  2026-05-07 10:31:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2205  2026-05-07 10:30:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2204  2026-05-07 10:30:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2203  2026-05-07 10:29:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2202  2026-05-07 10:29:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2201  2026-05-07 10:28:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2200  2026-05-07 10:28:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2199  2026-05-07 10:27:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2198  2026-05-07 10:27:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2197  2026-05-07 10:26:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2196  2026-05-07 10:26:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2195  2026-05-07 10:25:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2194  2026-05-07 10:25:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2193  2026-05-07 10:24:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2192  2026-05-07 10:24:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2191  2026-05-07 10:23:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2190  2026-05-07 10:23:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2189  2026-05-07 10:22:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2188  2026-05-07 10:22:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2187  2026-05-07 10:21:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2186  2026-05-07 10:21:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
2185  2026-05-07 10:20:08  sistema   interno                        morning-brief falló (Fernando Boero): listarEventosProximos: calendarId requerido                                                                                                           
2184  2026-05-07 10:20:08  sistema   interno                        morning-brief falló (Natali Funez): listarEventosProximos: calendarId requerido                                                                                                             
